competition_id,method,rank,item,weight
gg24,least-squares,189,aestus-relay/mev-boost-relay,0.0042095648537152155
gg24,least-squares,190,anoma/arm-risc0,0.004207355966528224
gg24,least-squares,191,arkworks-rs/algebra,0.004199496816900615
gg24,least-squares,192,0xPolygonHermez/zisk,0.004194933314775564
gg24,least-squares,193,a16z/halmos,0.004189975658913522
gg24,least-squares,194,0xPolygonHermez/zisk-eth-client,0.004180464814080893
gg24,least-squares,195,0xMiden/miden-vm,0.0041737909104553605
gg24,least-squares,196,3loop/loop-decoder,0.004169259657966778
gg24,least-squares,197,0xPolygonHermez/pil2-proofman,0.0041290852243071495
gg24,least-squares,198,0xFacet/facet-node,0.004125333234709907
gg24,least-squares,199,Verified-zkEVM/iris-lean,0.004110581967672281
gg24,least-squares,200,evmts/krome,0.0040966175784138996
gg24,least-squares,201,0xandee/noir-playground,0.004092749117164521
